subject,drift,bound,start,nondecision
101,-0.08905285162584044,1.2133662449012912,0.07464481653447096,0.49541123592821307
102,0.011974107621186536,1.5623890968202967,0.04902003164787754,0.495049906558584
103,0.0677307070046533,1.677545230357257,0.007463337233387258,0.4870998364289463
104,1.385691237324735,1.970272422782324,-0.4600367879873192,0.4912496402157702
105,0.25688759879660783,1.550854195694799,-0.09473380352329608,0.4950161311920258
106,1.014151629273238,1.4605928780233317,-0.33356243343446634,0.4971216406111835
107,0.48827022268778114,1.5978459569746934,-0.17714756246525526,0.49984488744085354
109,0.4035428141619804,1.4599999791988434,-0.14458068486210235,0.4972675755871119
110,0.8298680228748692,1.9724503908365547,-0.37879353901141166,0.4988908339877478
112,0.04812060322985564,1.3005990203860542,-0.043466720239715165,0.49536881245495806
114,0.13791773557913725,1.4189422188098302,-0.125365496381714,0.4770561228015774
115,-0.018818934114758618,1.0568926625350468,0.04676429023785982,0.4958574765833971
117,0.6544828302520536,1.3786868672363224,-0.15282686227071052,0.4978823749423057
119,-0.07097206364207426,1.6475894193285419,-0.006684199442005135,0.4963568399646795
123,-0.06952803142773138,1.1697160488130378,0.06184811309340291,0.4994536670477595
127,0.046450725545413615,0.9919020685407934,-0.036425724298331644,0.1107159607661326
129,0.07211741704240866,1.5300001853607668,-0.03375371948027999,0.4968943374252762
130,0.2684499926407004,1.4445454959673596,-0.0007279341166620768,0.4989813179914812
202,0.6187694329994307,1.5450000021132393,-0.20740413400976526,0.49223319066404986
203,1.08134968430957,2.0,-0.49925906240511103,0.41589802481371074
204,0.10799402813355473,1.5430862326243062,-0.022008434491892184,0.48522373341878394
207,0.29456068207622554,1.6197714144753914,-0.11517653794717564,0.4987851551712493
209,0.09397495941633532,1.4594118450139937,-0.033693092173030695,0.4874760511152373
210,0.1698162847358035,1.5638359329166613,-0.03911446615748018,0.49537165851854953
211,-0.09432066680951837,1.549349010264211,0.060609657241289305,0.49508751340326773
212,-0.05884469783750364,1.5683952872759201,-0.003989627609625668,0.49378796118111284
213,1.7601271922733057,2.0,-0.5173770791812816,0.4963156371063644
214,0.4729899163795017,1.5136489820516916,-0.1512350346569023,0.49596616430763985
215,0.12518366335404407,1.3079222723731871,-0.07353339930568917,0.4995052363219421
216,0.06630248163418193,1.3262993572783839,-0.13079803754271008,0.4976244354029161
217,0.4206578934230963,1.5675306916653708,-0.13560407785600131,0.49287995408379526
218,0.01699879731886494,1.3717579807765221,-0.026361074528160257,0.4956265235389077
219,-0.23391976375621526,1.5646042443751769,0.09000940411987753,0.49761566838994303
221,0.08526646983996139,1.5513853971629268,-0.001348067989648083,0.11457511351397195
222,0.3542815165664878,1.709249092612582,-0.16256974550240566,0.49195084187921867
223,-0.04613803142138634,1.4490583854104317,0.05528047966327119,0.49642968765075274
224,0.21931808220552307,1.6004120926640402,-0.11148619577550045,0.49588673096505487
401,1.4627934756591205,1.4976614551394638,-0.4171273497680081,0.498513973492872
402,0.11642054082423753,1.1981366910996027,-0.021500774709039217,0.4986476602742957
403,0.06282997108128482,1.4543896570901875,-0.009807046703671319,0.490582409458866
404,0.048813316910616286,1.0558292382969003,0.00804748976745291,0.49908270577645464
407,0.6043468944838865,1.5620709576383018,-0.13336265251861512,0.4957716738410048
411,0.5805766328453794,1.559626615466515,-0.15806261581367523,0.4956702344536607
412,0.8823161733584863,1.56347794518345,-0.31526751673251585,0.49438986385174455
413,0.27485124655769355,1.293616336033034,-0.12200531418649058,0.49563173449078457
414,0.4160068187491803,1.1122241288857158,-0.1521808858971886,0.49579563510145463
415,-0.10509622900722239,1.193485104767463,0.046348317724975455,0.49113075395586164
416,0.04048428551041595,1.3800016898668597,-0.011725536793064784,0.49969854857919943
417,-0.02095298765616156,1.6079499648166713,0.013305387749123555,0.49852714057576647
418,1.241520940377456,1.6299999886613448,-0.35081854776882876,0.49885904055268016
419,0.612990212440234,1.2271179402277823,-0.13930377331399732,0.4975002498148562
420,0.747955426127155,1.7144511499924429,-0.2839582172421066,0.49992085630166283
425,1.1345226630446894,1.7319092893869696,-0.3001339794306559,0.49809897733962
426,0.24046218414089077,0.987523143822218,-0.07170991170811032,0.497171489838558
428,0.6890895746153909,1.4780745206616133,-0.1997091393357594,0.49771664015879635
429,-0.27079478844726007,1.4524873648798733,0.14263135926195344,0.48829008504286764
431,-0.5459310877021774,1.675148240073326,0.18926966407933055,0.49805479172061473
432,0.060396071209829844,1.6173438356974719,-0.070852892159912,0.498064668068112
433,0.25923596065475285,1.1936159704993383,-0.03876504174315683,0.49608376539515486
435,0.472379962067083,1.6703732441121972,-0.13571711368690487,0.4857101580075552
437,0.4885064833840639,1.3550117465174931,-0.09301184496354686,0.49383326106040737
