subject,drift,bound,start,nondecision
101,-0.09414930715542749,1.1853062374662888,0.09833709806611708,0.49708703261660375
102,-0.07448165299212484,1.4796934919420668,0.08218108254709425,0.4850113862886296
103,0.15611804696049322,1.664403053277283,-0.09589312587250057,0.4997759192186044
104,1.3519054772842956,1.955040902865092,-0.4401041410026764,0.4987570316208321
105,0.26764827467233343,1.545807673407613,-0.08731581711972147,0.49914068787509747
106,0.9135362128622677,1.432714803967563,-0.25831548199242793,0.4950100959530013
107,0.4692110020286853,1.6002861607277346,-0.15326794636744553,0.4928082444697744
108,-0.03172818299352976,1.4070915919705138,0.10467692275107243,0.49579782706199016
109,0.41867207866477585,1.4612964060325313,-0.1618471379794844,0.4981064677490385
110,0.8676986105872231,1.9950182576805453,-0.4100952576856801,0.49413856853324306
112,0.014193099228740978,1.2584073987616609,-0.003606818063345774,0.4982404269321168
113,0.13345084765035922,1.4038261345665435,-0.08585127694811182,0.4890927953221569
114,0.06821979648473668,1.46509270379815,-0.05274108113307357,0.21988841826061822
115,0.007964373552065052,1.074420980565795,0.019834080290586087,0.49614270127557
116,0.41332471781503605,1.6175014014105924,-0.13150551698937987,0.49415493340316174
117,0.6707622428115364,1.3739141527120702,-0.23184223564054662,0.49558964239533776
119,-0.10839491476106763,1.6498382754362177,0.04474684029764511,0.4936649476776608
122,-0.07891137408881166,1.4919338665983148,0.02220859948659353,0.4682218545474342
123,0.0028920446549026424,1.168872776539624,-0.012476226459072315,0.4971386446556154
125,0.17201213581266062,1.1598382732562156,-0.06757467107967852,0.4796768385864009
126,-0.044251671054047634,1.2666629050134823,0.10644881931366507,0.4882438427564886
127,0.03565064860912287,1.0300299746692831,-0.04797520219888005,0.10048048974570942
129,0.061962186891404564,1.529667843698539,-0.02223039883809763,0.4982060354643735
130,0.2654037602049197,1.4503413399988976,0.0001327597364749522,0.48986199173571726
202,0.5283292007667019,1.5312802779144343,-0.12438941556451955,0.49515144495091257
203,1.0929720123044435,2.0,-0.515463591875528,0.4077110992455086
204,0.12923328773089562,1.5068278588184107,-0.05235069013278962,0.49937655055617663
205,-0.17888446591863877,0.9767484886186412,0.03782661326936552,0.10436045045378803
206,0.2159098825460184,1.4394580381244593,-0.026238099845699206,0.49545381848191267
207,0.2677932431912949,1.6202541035219011,-0.08123461206845528,0.494827669201859
209,0.0940383469118531,1.4566691545238162,-0.03365894673970687,0.493226440794343
210,0.17183549806055606,1.568890219856892,-0.04431366762318252,0.48995501867200936
211,-0.07460252102323704,1.5483747856972523,0.03512416716882321,0.4968468333161291
212,-0.07874255031473454,1.5664852498479696,0.020441281426102267,0.4975386534875143
213,1.630224838578412,1.9406311765830249,-0.4926890161173331,0.4967548227106243
214,0.5327511881902679,1.5172195698169992,-0.21592190255168148,0.4978793964363347
215,0.09681415046315225,1.304999978354211,-0.04281258395109973,0.4999796503910793
216,0.013215493622108795,1.3179655277323716,-0.06531529388656417,0.4957378290037491
217,0.42974990348981895,1.6132923066372793,-0.1204587447425813,0.499550292122212
218,0.031810725608666914,1.3724896425570756,-0.04438380100724224,0.4962599458472809
219,-0.2560296992614149,1.565467114874648,0.11891776398543713,0.49808800916828144
220,-0.11455649906277658,1.3313118961303465,0.14961004364631822,0.2563238066724277
221,0.054766559044123524,1.5287288806016348,-0.022345799034857096,0.1578743991302294
222,0.28118347864414617,1.711895391504449,-0.06372299023219874,0.48551457709384127
223,-0.0983525296623708,1.423263680986137,0.09330081792645757,0.49796876769528914
224,0.23402862088434487,1.6649999767216448,-0.09049492146933061,0.4970929383675774
226,-0.0390210653771381,1.549048409642272,0.09728831060493093,0.4963636219399722
227,0.12256299439533003,1.3330406028692519,0.0138676194753403,0.49933557250230254
401,1.4165705036112881,1.4918024434975916,-0.3887485793850415,0.4985656944907913
402,0.13661573525234808,1.1983549477670599,-0.042089058420946394,0.4975999852988467
403,0.03445395020064933,1.4829235719558178,0.03239750864108295,0.2839169597111603
404,0.11283190951200613,1.0569082520637094,-0.05543014777072335,0.4952860357918626
406,0.2559493520171091,1.7735139690409125,-0.09705469755092962,0.4958015583598119
407,0.5847668005662481,1.5210362868226521,-0.1419640550933277,0.4978963646576991
408,0.948244047612149,1.5999219980180912,-0.36039783179655527,0.498574001918185
409,0.4985820586283951,1.603328267135384,-0.1972704200910493,0.4984708009796055
410,0.6492025657257207,1.607279156861524,-0.21996158003218869,0.4958139697832157
411,0.6065536080751412,1.5643524730172589,-0.19129994432376307,0.4867948893725169
412,0.8798168707321847,1.5600000134205578,-0.3126173688560629,0.4992190475777466
413,0.260175645942226,1.2925386173601625,-0.10620779530523326,0.49957265110237586
414,0.41600655427670596,1.1122235816068151,-0.15003729795440002,0.49620297434864064
415,-0.09746582521959594,1.1906074216822502,0.03832093152728753,0.49770775189674665
416,0.046560775935950906,1.3798809245735932,-0.019534496413824612,0.4996568400086024
417,0.07793784348009736,1.5229569424428198,-0.016012676570819905,0.4953375752529342
418,1.3162030531216269,1.65500002756462,-0.396939812277879,0.48882652555913136
419,0.5848574767354022,1.2389097336625634,-0.14661104965882119,0.4902287155539984
420,0.7433441619385768,1.7414976844583707,-0.27888819613289545,0.48226731438212517
421,-0.05299101638470744,1.3719931032374575,-0.03327240402545062,0.3285482418014623
423,0.6919259253120781,1.9842257732857815,-0.31242528612411047,0.4817765729747137
424,-0.29232204536069406,1.1450033286453072,0.11949868572113545,0.4965563994938623
425,1.2403327971668388,1.8100000002585805,-0.3388597546884575,0.4978540497745051
426,0.2169179835305817,0.9913332577315656,-0.08004676259451333,0.4998742322579911
427,-0.17581421606942477,1.1889626252171515,0.06971209761104084,0.10322515823375458
428,0.7335747339361974,1.479905459239572,-0.24387314489165046,0.4956416990314056
429,-0.2630304848214684,1.4470702378898308,0.1315280975321633,0.49874609601788045
430,0.041487656054614096,1.4110374644225492,0.03627922852963455,0.49966675094734625
431,-0.498819723909076,1.6800467076542016,0.1290724736668418,0.4974191429009188
432,0.07874778125160198,1.6506624225955173,-0.07421662689523804,0.4979172725758314
433,0.3153096333651984,1.193816186113922,-0.09403504413380599,0.49615663017148437
434,0.5726444970871455,1.5905401070004261,-0.21468563750806136,0.49549877797850395
435,0.5038729701619068,1.6462009684868644,-0.18266727549961095,0.49692400808237114
437,0.48929917265804695,1.3517749499751759,-0.09591351073313598,0.49880676595605977
